Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Target
1;0;1;55120;713;85;59;0;2;1;1;0;0;0;0;0;9200;9000;0
0;2;1;83180;744;-32;-19;0;3;1;2;0;0;0;0;0;14600;9000;1
1;0;1;25090;383;78;30;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;54990;182;1;-28;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;24370;428;-16;-3;0;1;0;1;0;0;0;0;0;2000;2000;0
1;0;1;134870;2096;-17;4;0;4;2;2;0;0;0;0;0;5100;3000;0
0;0;0;5640;296;-47;-21;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;47370;1333;62;71;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;20750;329;88;42;0;1;1;0;0;0;0;0;0;700;700;0
0;1;0;15640;517;67;72;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7660;221;-32;-9;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;8710;126;-24;-44;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;11800;133;-47;-46;0;2;1;1;0;0;0;0;0;3300;3000;0
0;0;1;85240;140;-47;-51;0;1;1;0;0;0;0;0;0;200;200;0
1;0;1;27390;674;-17;30;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;40130;1324;120;162;1;2;2;0;0;0;0;0;0;1100;600;0
0;0;1;27350;602;-1;25;0;1;1;0;0;0;0;0;0;200;200;0
0;0;0;10420;62;-85;-86;0;1;0;1;0;0;0;0;0;1000;1000;0
0;0;0;6010;215;-41;-38;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;57860;383;95;92;0;2;1;1;0;0;0;0;0;4700;4000;0
0;1;1;20720;284;13;-11;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;25910;424;-22;-3;0;1;1;0;0;0;0;0;0;900;900;0
0;0;0;4490;35;-78;-73;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;29990;203;-55;-75;0;3;1;2;0;0;0;0;0;9400;6000;0
0;0;0;10100;23;-82;-75;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;48820;446;57;75;1;5;4;1;0;0;0;0;0;3900;2000;0
0;0;1;1310730;1504;13;9;0;2;1;1;0;0;0;0;0;4200;4000;0
0;0;1;396530;1209;-10;-13;0;1;0;1;0;0;0;0;0;6000;6000;0
1;1;0;12780;376;23;-1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;332180;1890;-33;-16;0;1;0;1;0;0;0;0;0;1000;1000;1
1;1;1;19420;591;9;29;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;4620;175;-63;-30;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;452730;1349;-34;-31;0;3;0;1;2;0;0;0;0;64000;30000;0
0;1;1;180530;324;7;3;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;95280;1031;-32;-21;0;2;1;1;0;0;0;0;0;3600;3000;1
0;0;0;6390;138;-29;-36;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;11700;181;15;-4;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;133430;1074;5;-9;0;6;2;4;0;0;0;0;0;16700;8000;0
