feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,target
93.4214,17.8618,3.1178,0.1899,0.1087,-54.5623,85.6221,-6.0429,7.6036,307.538,0
31.1642,16.2665,2.4807,0.3537,0.1802,22.2594,16.9782,-17.1011,45.2025,215.127,1
54.4918,16.8496,2.9576,0.2249,0.1218,37.0476,26.341,-12.2123,1.705,216.318,0
46.507,11.2989,2.3847,0.5526,0.3691,28.1802,40.0369,8.4745,13.3338,105.453,0
35.579,15.7688,2.8112,0.332,0.1707,8.2101,23.4049,9.6309,7.5527,196.357,0
48.158,14.8748,2.4346,0.4265,0.2298,32.3106,34.6064,-13.9092,20.997,227.967,0
16.4287,11.4137,2.3444,0.5792,0.2964,3.8433,-8.2382,-3.472,15.576,57.7603,0
30.5845,8.2482,2.4057,0.5187,0.2652,10.4659,20.0241,-9.7223,21.175,163.808,0
23.8183,14.0974,2.5966,0.4582,0.262,-3.2693,-18.9889,-8.4034,16.8389,129.72,0
21.64,17.4888,2.4273,0.5495,0.3234,-4.7485,-15.2153,14.1027,77.863,224.446,0
18.5424,10.4038,2.2878,0.5619,0.2912,-0.8683,6.543,-5.2262,74.4102,92.1155,0
14.9856,14.7028,2.3506,0.6184,0.3503,7.8388,26.324,-4.9293,77.7656,30.4286,1
20.5998,6.1069,2.1804,0.8053,0.571,16.4545,18.482,5.9756,39.8963,177.897,0
20.46,15.3513,2.2944,0.5579,0.3179,-20.4507,-16.4939,1.9803,75.7453,148.2301,1
44.7252,24.5245,3.1733,0.1939,0.1057,35.5333,26.6332,-19.6672,4.908,144.138,0
32.3176,12.9147,2.7427,0.4213,0.2685,11.6103,26.2194,-10.7021,12.306,192.904,0
23.7533,16.8303,2.8299,0.432,0.2685,6.3197,11.3306,-11.9067,14.2238,157.23,0
66.1343,19.7841,3.0964,0.2555,0.1478,-76.453,47.9461,-20.9157,4.103,284.839,0
47.371,12.4404,2.6585,0.3425,0.1811,28.8176,32.9627,5.8394,3.4872,186.742,0
32.2216,17.854,2.8357,0.3182,0.1613,20.0564,16.8922,-13.9134,26.4593,197.341,0
59.2595,29.0385,3.5391,0.135,0.0776,50.504,36.9943,20.2622,3.5017,260.422,0
