Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Target
0;0;0;1970;17;-14;-58;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;22060;275;64;8;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;16320;454;23;17;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;134640;611;-41;-16;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;13930;423;-26;-32;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;782750;1593;9;-17;0;2;0;2;0;0;0;0;0;6000;3000;0
0;0;1;44960;643;19;56;0;4;1;3;0;0;0;0;0;14400;9000;0
0;0;1;8160;148;-51;-57;0;1;1;0;0;0;0;0;0;300;300;0
1;0;1;450060;2019;-33;-2;0;3;0;3;0;0;0;0;0;14000;8000;0
0;0;1;94190;2191;161;117;0;5;2;1;2;0;0;0;0;116500;90000;0
0;0;1;21670;132;-31;-34;0;3;2;1;0;0;0;0;0;3400;2000;0
1;0;1;54920;801;102;70;0;1;1;0;0;0;0;0;0;200;200;0
1;0;1;110510;708;-58;-58;0;4;2;1;1;0;0;0;0;44200;40000;0
0;2;0;11350;94;-87;-84;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;42860;588;24;5;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6470;98;-7;-41;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;41340;89;42;12;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;9140;335;-69;-25;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;31540;121;-32;-30;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;155540;363;74;79;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;12140;317;8;38;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1630;26;-72;-44;0;1;1;0;0;0;0;0;0;800;800;0
0;1;1;34360;604;40;44;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;35510;313;8;3;0;1;1;0;0;0;0;0;0;500;500;0
1;0;1;59410;1552;59;48;0;2;2;0;0;0;0;0;0;900;600;0
0;1;1;39970;831;196;147;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;27200;402;118;61;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;15300;295;-40;-41;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;358490;1231;-36;-58;0;1;1;0;0;0;0;0;0;400;400;0
0;1;0;10520;72;46;1;0;1;0;1;0;0;0;0;0;5000;5000;0
0;0;0;500;7;-83;-82;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;379670;1456;-21;-45;0;2;0;0;2;0;0;0;0;40000;20000;0
0;0;0;75930;305;-38;-27;0;1;0;1;0;0;0;0;0;6000;6000;0
0;0;1;63760;195;-73;-65;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;12400;402;9;44;0;0;0;0;0;0;0;0;0;0;0;0
1;2;1;87250;1048;93;51;1;1;1;0;0;0;0;0;0;500;500;0
1;0;1;27810;265;-6;11;0;1;1;0;0;0;0;0;0;500;500;0
0;0;0;24900;159;-57;-29;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7530;32;12;-20;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;13200;505;6;102;0;1;0;1;0;0;0;0;0;9000;9000;0
1;0;1;36410;646;152;142;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;2360;16;-54;-71;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;4230;126;-55;-61;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;21400;391;-14;-14;1;1;1;0;0;0;0;0;0;300;300;0
1;0;1;8610;79;-74;-69;0;1;0;1;0;0;0;0;0;5000;5000;0
1;0;1;36530;700;27;42;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;325750;1068;50;67;0;1;0;1;0;0;0;0;0;3000;3000;0
0;1;0;13550;326;8;30;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;10160;278;-5;15;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5400;39;2;-2;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;22710;385;82;54;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;20040;777;99;123;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;18170;408;50;35;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;18470;525;-46;-41;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;14890;540;-64;-53;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;26750;408;8;-10;1;0;0;0;0;0;0;0;0;0;0;0
0;1;1;37820;347;16;24;0;3;2;1;0;0;0;0;0;4000;3000;0
