Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Feat18;Feat19;Feat20;Feat21;Feat22;Feat23;Feat24;Feat25;Feat26;Feat27;Feat28;Feat29;Feat30;Feat31;Feat32;Feat33;Feat34;Feat35;Feat36;Feat37;Feat38;Feat39;Feat40;Feat41;Feat42;Feat43;Feat44;Feat45;Feat46;Feat47;Feat48;Feat49;Feat50;Feat51;Feat52;Feat53;Feat54;Feat55;Feat56;target
0.000;0.000;0.000;40.130;0.000;0.000;0.000;0.000;0.000;0.320;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.320;0.980;0.000;0.320;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.185;0.000;0.185;0.061;0.000;10.585;124;434;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.110;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.110;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1;7;0
0.060;0.000;0.000;0.000;0.000;0.120;0.000;0.000;0.000;0.120;0.000;0.190;0.000;0.000;0.060;0.190;0.120;0.000;1.740;0.060;1.230;0.000;0.250;0.060;2.260;0.380;0.060;0.190;0.000;0.190;0.320;0.000;0.000;0.000;0.250;0.000;0.320;0.000;0.190;0.000;0.000;0.000;0.000;0.000;0.060;0.000;0.000;0.120;0.000;0.330;0.018;0.064;0.055;0.000;2.024;25;897;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;25.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.000;4;6;0
0.000;14.280;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.800;5;9;0
0.000;0.600;0.000;0.000;0.600;0.000;0.000;0.000;0.000;2.430;0.000;0.600;0.000;0.000;0.000;0.000;0.000;0.000;1.820;0.000;0.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.210;0.000;0.000;0.000;1.820;0.000;0.000;0.000;0.271;0.000;0.000;0.000;0.090;6.090;71;201;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.420;0.000;0.000;0.000;1.280;0.420;0.000;0.000;0.000;0.420;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.570;0.000;0.000;0.000;0.140;0.000;0.000;0.000;0.140;0.000;0.000;0.280;0.280;0.140;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.140;0.080;0.242;0.000;0.000;0.040;0.000;2.275;20;421;0
0.000;0.000;0.000;1.330;0.000;0.000;0.000;1.330;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.330;0.000;0.000;0.000;0.000;1.330;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.684;0.000;0.228;3.000;12;69;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.580;0.000;0.000;0.000;0.000;0.910;0.000;0.000;0.000;0.910;0.000;0.000;0.000;1.830;0.000;0.000;0.000;0.000;0.910;0.000;0.000;0.000;0.000;0.000;0.910;0.000;0.000;0.910;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.120;0.000;0.241;0.000;0.000;3.541;26;85;0
0.000;0.000;0.000;0.000;0.000;0.590;0.000;2.950;0.000;0.000;0.000;0.590;0.590;0.000;0.590;5.910;2.950;0.590;1.770;0.000;1.180;0.000;0.000;0.590;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.293;0.000;0.000;1.690;15;93;1
